"filename", "language", "Groovy", "Properties", "XML", "Batch", "Java", "comment", "blank", "total"
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\compiler.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\gradle.xml", "XML", 0, 0, 22, 0, 0, 0, 0, 22
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\jarRepositories.xml", "XML", 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\build.gradle", "Groovy", 49, 0, 0, 0, 0, 0, 9, 58
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\androidTest\java\com\sander\fantasticfood\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 15, 6, 5, 26
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\AndroidManifest.xml", "XML", 0, 0, 34, 0, 0, 0, 3, 37
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\Allergy.java", "Java", 0, 0, 0, 0, 70, 0, 18, 88
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\MealPlan.java", "Java", 0, 0, 0, 0, 70, 0, 18, 88
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\Recipe.java", "Java", 0, 0, 0, 0, 121, 0, 29, 150
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\UserProfile.java", "Java", 0, 0, 0, 0, 94, 0, 25, 119
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\AllergyAPI.java", "Java", 0, 0, 0, 0, 21, 0, 9, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\MealPlanAPI.java", "Java", 0, 0, 0, 0, 21, 0, 9, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\RecipeAPI.java", "Java", 0, 0, 0, 0, 31, 0, 12, 43
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\UserProfileAPI.java", "Java", 0, 0, 0, 0, 20, 0, 8, 28
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\AllergyRecyclerAdapter.java", "Java", 0, 0, 0, 0, 61, 0, 17, 78
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\GalleryRecyclerAdapter.java", "Java", 0, 0, 0, 0, 47, 0, 18, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\MealPlanRecyclerAdapter.java", "Java", 0, 0, 0, 0, 61, 0, 18, 79
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\MyRecipeRecyclerAdapter.java", "Java", 0, 0, 0, 0, 80, 0, 25, 105
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\RecipeAllergyAdapter.java", "Java", 0, 0, 0, 0, 68, 0, 18, 86
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\RecipeMealPlanAdapter.java", "Java", 0, 0, 0, 0, 68, 0, 19, 87
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\RecipeRecyclerAdapter.java", "Java", 0, 0, 0, 0, 93, 0, 24, 117
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\AuthIntercepter.java", "Java", 0, 0, 0, 0, 45, 0, 11, 56
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Logic\LoginViewModel.java", "Java", 0, 0, 0, 0, 86, 0, 17, 103
