Date : 2021-09-11 15:31:30
Directory : c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food
Total : 117 files,  5271 codes, 53 comments, 973 blanks, all 6297 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         39 |      2,613 |         27 |        626 |      3,266 |
| XML        |         72 |      2,519 |          6 |        310 |      2,835 |
| Groovy     |          3 |         70 |          3 |         12 |         85 |
| Batch      |          1 |         61 |          0 |         24 |         85 |
| Properties |          2 |          8 |         17 |          1 |         26 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                               |        117 |      5,271 |         53 |        973 |      6,297 |
| .idea                                                                                                                                                                                           |          5 |         68 |          0 |          0 |         68 |
| app                                                                                                                                                                                             |        107 |      5,113 |         33 |        945 |      6,091 |
| app\src                                                                                                                                                                                         |        106 |      5,064 |         33 |        936 |      6,033 |
| app\src\androidTest                                                                                                                                                                             |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java                                                                                                                                                                        |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java\com                                                                                                                                                                    |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java\com\sander                                                                                                                                                             |          1 |         15 |          6 |          5 |         26 |
| app\src\androidTest\java\com\sander\fantasticfood                                                                                                                                               |          1 |         15 |          6 |          5 |         26 |
| app\src\main                                                                                                                                                                                    |        104 |      5,040 |         22 |        928 |      5,990 |
| app\src\main\java                                                                                                                                                                               |         37 |      2,589 |         16 |        618 |      3,223 |
| app\src\main\java\com                                                                                                                                                                           |         37 |      2,589 |         16 |        618 |      3,223 |
| app\src\main\java\com\sander                                                                                                                                                                    |         37 |      2,589 |         16 |        618 |      3,223 |
| app\src\main\java\com\sander\fantasticfood                                                                                                                                                      |         37 |      2,589 |         16 |        618 |      3,223 |
| app\src\main\java\com\sander\fantasticfood\Model                                                                                                                                                |          4 |        355 |          0 |         90 |        445 |
| app\src\main\java\com\sander\fantasticfood\Services                                                                                                                                             |         19 |      1,124 |          0 |        296 |      1,420 |
| app\src\main\java\com\sander\fantasticfood\Services\API                                                                                                                                         |          4 |         93 |          0 |         38 |        131 |
| app\src\main\java\com\sander\fantasticfood\Services\Adapters                                                                                                                                    |          7 |        478 |          0 |        139 |        617 |
| app\src\main\java\com\sander\fantasticfood\Services\Logic                                                                                                                                       |          5 |        429 |          0 |         84 |        513 |
| app\src\main\java\com\sander\fantasticfood\UserInterface                                                                                                                                        |         14 |      1,110 |         16 |        232 |      1,358 |
| app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationFragments                                                                                                                |          2 |        109 |          0 |         24 |        133 |
| app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents                                                                                                                         |          5 |        417 |          0 |         93 |        510 |
| app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments                                                                                                                       |          5 |        499 |         16 |         91 |        606 |
| app\src\main\res                                                                                                                                                                                |         66 |      2,417 |          6 |        307 |      2,730 |
| app\src\main\res\drawable                                                                                                                                                                       |         29 |        442 |          3 |         29 |        474 |
| app\src\main\res\drawable-v24                                                                                                                                                                   |          1 |         30 |          0 |          0 |         30 |
| app\src\main\res\layout                                                                                                                                                                         |         21 |      1,595 |          0 |        241 |      1,836 |
| app\src\main\res\menu                                                                                                                                                                           |          3 |         80 |          0 |         10 |         90 |
| app\src\main\res\mipmap-anydpi-v26                                                                                                                                                              |          4 |         20 |          0 |          0 |         20 |
