Date : 2021-09-11 15:33:14
Directory : c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food
Total : 56 files,  3886 codes, 100 comments, 348 blanks, all 4334 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         33 |      3,415 |          2 |        280 |      3,697 |
| JSON       |          3 |        168 |          0 |          3 |        171 |
| XML        |          9 |        128 |         51 |         11 |        190 |
| Groovy     |          3 |         81 |          3 |         20 |        104 |
| YAML       |          1 |         34 |         28 |         15 |         77 |
| HTML       |          1 |         26 |         15 |          5 |         46 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                              |         56 |      3,886 |        100 |        348 |      4,334 |
| android                                                                                                                                                        |         12 |        156 |         53 |         31 |        240 |
| android\app                                                                                                                                                    |          8 |        113 |         52 |         20 |        185 |
| android\app\src                                                                                                                                                |          7 |         67 |         49 |          9 |        125 |
| android\app\src\debug                                                                                                                                          |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                                           |          5 |         59 |         43 |          7 |        109 |
| android\app\src\main\res                                                                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                        |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                            |         33 |      3,415 |          2 |        280 |      3,697 |
| lib\domain                                                                                                                                                     |          4 |        136 |          0 |         28 |        164 |
| lib\services                                                                                                                                                   |          5 |        249 |          0 |         43 |        292 |
| lib\user_interface                                                                                                                                             |         23 |      3,006 |          2 |        206 |      3,214 |
| lib\user_interface\authentication                                                                                                                              |          4 |        523 |          0 |         24 |        547 |
| lib\user_interface\main_components                                                                                                                             |          7 |        953 |          1 |         48 |      1,002 |
| lib\user_interface\navigation                                                                                                                                  |          2 |        172 |          1 |         10 |        183 |
| lib\user_interface\profile_components                                                                                                                          |          9 |      1,288 |          0 |        114 |      1,402 |
| lib\user_interface\styles                                                                                                                                      |          1 |         70 |          0 |         10 |         80 |
| web                                                                                                                                                            |          2 |         49 |         15 |          6 |         70 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\README.md                                                       | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\build.gradle                                        | Groovy     |         46 |          3 |         11 |         60 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\debug\AndroidManifest.xml                       | XML        |          4 |          3 |          1 |          8 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\main\AndroidManifest.xml                        | XML        |         33 |         11 |          1 |         45 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\main\res\drawable-v21\launch_background.xml     | XML        |          4 |          7 |          2 |         13 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\main\res\drawable\launch_background.xml         | XML        |          4 |          7 |          2 |         13 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\main\res\values-night\styles.xml                | XML        |          9 |          9 |          1 |         19 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\main\res\values\styles.xml                      | XML        |          9 |          9 |          1 |         19 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\app\src\profile\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\build.gradle                                            | Groovy     |         27 |          0 |          5 |         32 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\gradle.properties                                       | Properties |          3 |          0 |          1 |          4 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\gradle\wrapper\gradle-wrapper.properties                | Properties |          5 |          1 |          1 |          7 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\android\settings.gradle                                         | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\AppDelegate.swift                                    | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json     | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json   | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md       | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\Base.lproj\LaunchScreen.storyboard                   | XML        |         36 |          1 |          1 |         38 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\Base.lproj\Main.storyboard                           | XML        |         25 |          1 |          1 |         27 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\ios\Runner\Runner-Bridging-Header.h                             | C++        |          1 |          0 |          1 |          2 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\domain\allergy.dart                                         | Dart       |         22 |          0 |          6 |         28 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\domain\meal_plan.dart                                       | Dart       |         22 |          0 |          6 |         28 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\domain\recipe.dart                                          | Dart       |         38 |          0 |          7 |         45 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\domain\user_profile.dart                                    | Dart       |         54 |          0 |          9 |         63 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\main.dart                                                   | Dart       |         24 |          0 |          3 |         27 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\services\allergy_service.dart                               | Dart       |         22 |          0 |          4 |         26 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\services\authentication_service.dart                        | Dart       |         47 |          0 |         11 |         58 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\services\meal_plan_service.dart                             | Dart       |         23 |          0 |          4 |         27 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\services\recipe_service.dart                                | Dart       |        106 |          0 |         17 |        123 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\services\user_profile_service.dart                          | Dart       |         51 |          0 |          7 |         58 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\authentication_screen.dart    | Dart       |         51 |          0 |          4 |         55 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\change_password_dialog.dart   | Dart       |         46 |          0 |          4 |         50 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\login.dart                    | Dart       |        198 |          0 |          9 |        207 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\register.dart                 | Dart       |        228 |          0 |          7 |        235 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\explore_recipes.dart         | Dart       |        198 |          1 |          8 |        207 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\favourite_recipes.dart       | Dart       |        118 |          0 |          6 |        124 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\home.dart                    | Dart       |        178 |          0 |         11 |        189 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\main_view_container.dart     | Dart       |         56 |          0 |          5 |         61 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\my_profile.dart              | Dart       |         75 |          0 |          4 |         79 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\recipe_card.dart             | Dart       |         97 |          0 |          6 |        103 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\single_recipe.dart           | Dart       |        231 |          0 |          8 |        239 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\navigation\menu_bloc.dart                    | Dart       |         31 |          0 |          5 |         36 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\navigation\menu_drawer.dart                  | Dart       |        141 |          1 |          5 |        147 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\change_image_dialog.dart  | Dart       |         48 |          0 |          7 |         55 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\delete_recipe_dialog.dart | Dart       |         40 |          0 |          6 |         46 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\edit_recipe.dart          | Dart       |        392 |          0 |         40 |        432 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_allergies.dart         | Dart       |        140 |          0 |         14 |        154 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_details.dart           | Dart       |        186 |          0 |         12 |        198 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_mealplans.dart         | Dart       |        140 |          0 |         11 |        151 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_recipes.dart           | Dart       |        219 |          0 |          9 |        228 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\recipe_allergy.dart       | Dart       |         62 |          0 |          7 |         69 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\recipe_mealplan.dart      | Dart       |         61 |          0 |          8 |         69 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\styles\textInput.dart                        | Dart       |         70 |          0 |         10 |         80 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\pubspec.yaml                                                    | YAML       |         34 |         28 |         15 |         77 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\web\index.html                                                  | HTML       |         26 |         15 |          5 |         46 |
| c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\web\manifest.json                                               | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                                                                                          |            |      3,886 |        100 |        348 |      4,334 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
